Date/Time,Level (m)
02-12-18 17:00,1.61
02-12-18 16:00,1.61
02-12-18 15:00,1.62
02-12-18 14:00,1.63
02-12-18 13:00,1.63
02-12-18 12:00,1.63
02-12-18 11:00,1.63
02-12-18 10:00,1.63
02-12-18 9:00,1.63
02-12-18 8:00,1.63
02-12-18 7:00,1.64
02-12-18 6:00,1.61
02-12-18 5:00,1.65
02-12-18 4:00,1.67
02-12-18 3:00,1.56
02-12-18 2:00,1.5
02-12-18 1:00,1.5
02-12-18 0:00,1.5
01-12-18 23:00,1.5
01-12-18 22:00,1.5
01-12-18 21:00,1.5
01-12-18 20:00,1.5
01-12-18 19:00,1.5
01-12-18 18:00,1.5
01-12-18 17:00,1.5
01-12-18 16:00,1.5
01-12-18 15:00,1.5
01-12-18 14:00,1.5
01-12-18 13:00,1.5
01-12-18 12:00,1.51
01-12-18 11:00,1.5
01-12-18 10:00,1.51
01-12-18 9:00,1.51
01-12-18 8:00,1.51
01-12-18 7:00,1.51
01-12-18 6:00,1.51
01-12-18 5:00,1.51
01-12-18 4:00,1.51
01-12-18 3:00,1.51
01-12-18 2:00,1.51
01-12-18 1:00,1.51
01-12-18 0:00,1.51
30-11-18 23:00,1.51
30-11-18 22:00,1.51
30-11-18 21:00,1.51
30-11-18 20:00,1.51
30-11-18 19:00,1.51
30-11-18 18:00,1.51
30-11-18 17:00,1.51
30-11-18 16:00,1.51
30-11-18 15:00,1.51
30-11-18 14:00,1.51
30-11-18 13:00,1.51
30-11-18 12:00,1.51
30-11-18 11:00,1.51
30-11-18 10:00,1.51
30-11-18 9:00,1.51
30-11-18 8:00,1.51
30-11-18 7:00,1.51
30-11-18 6:00,1.51
30-11-18 5:00,1.51
30-11-18 4:00,1.51
30-11-18 3:00,1.51
30-11-18 2:00,1.51
30-11-18 1:00,1.51
30-11-18 0:00,1.51
29-11-18 23:00,1.51
29-11-18 22:00,1.51
29-11-18 21:00,1.51
29-11-18 20:00,1.51
29-11-18 19:00,1.51
29-11-18 18:00,1.51
29-11-18 17:00,1.51
29-11-18 16:00,1.51
29-11-18 15:00,1.5
29-11-18 14:00,1.51
29-11-18 13:00,1.51
29-11-18 12:00,1.51
29-11-18 11:00,1.51
29-11-18 10:00,1.51
29-11-18 9:00,1.51
29-11-18 8:00,1.51
29-11-18 7:00,1.51
29-11-18 6:00,1.51
29-11-18 5:00,1.51
29-11-18 4:00,1.51
29-11-18 3:00,1.51
29-11-18 2:00,1.51
29-11-18 1:00,1.51
29-11-18 0:00,1.51
28-11-18 23:00,1.51
28-11-18 22:00,1.51
28-11-18 21:00,1.51
28-11-18 20:00,1.51
28-11-18 19:00,1.51
28-11-18 18:00,1.51
28-11-18 17:00,1.51
28-11-18 16:00,1.51
28-11-18 15:00,1.51
28-11-18 14:00,1.51
28-11-18 13:00,1.51
28-11-18 12:00,1.51
28-11-18 11:00,1.52
28-11-18 10:00,1.52
28-11-18 9:00,1.52
28-11-18 8:00,1.52
28-11-18 7:00,1.52
28-11-18 6:00,1.52
28-11-18 5:00,1.52
28-11-18 4:00,1.52
28-11-18 3:00,1.52
28-11-18 2:00,1.52
28-11-18 1:00,1.52
28-11-18 0:00,1.52
27-11-18 23:00,1.52
27-11-18 22:00,1.52
27-11-18 21:00,1.52
27-11-18 20:00,1.52
27-11-18 19:00,1.52
